name,is_private,num_apps,perc_accept,perc_top10,num_fulltime,perc_fulltime,cost_tuition,cost_room_board,perc_terminal,ratio_student_faculty,perc_alumni,cost_expenditure,perc_graduate
Abilene Christian University,1,1660,74,23,2885,84,7440,3300,78,18.1,12,7041,60
Adelphi University,1,2186,88,16,2683,68,12280,6450,30,12.2,16,10527,56
Adrian College,1,1428,76,22,1036,91,11250,3750,66,12.9,30,8735,54
Agnes Scott College,1,417,83,60,510,89,12960,5450,97,7.7,37,19016,59
Alaska Pacific University,1,193,75,16,249,22,7560,4120,72,11.9,2,10922,15
Albertson College,1,587,81,38,678,94,13500,3335,73,9.4,11,9727,55
Albertus Magnus College,1,353,96,17,416,64,13290,5720,93,11.5,26,8861,63
Albion College,1,1899,90,37,1594,98,13868,4826,100,13.7,37,11487,73
Albright College,1,1038,80,30,973,76,15595,4400,84,11.3,23,11644,80
Alderson-Broaddus College,1,582,85,21,799,91,10468,3380,41,11.5,15,8991,52
Alfred University,1,1732,82,37,1830,94,16548,5406,88,11.3,31,10932,73
Allegheny College,1,2652,71,44,1707,97,17080,4440,91,9.9,41,11711,76
Allentown Coll. of St. Francis de Sales,1,1179,66,38,1130,63,9690,4785,84,13.3,21,7940,74
Alma College,1,1267,85,44,1306,97,12572,4552,87,15.3,32,9305,68
Alverno College,1,494,63,23,1317,51,8352,3640,69,11.1,26,8127,55
American International College,1,1420,76,9,1018,78,8700,4780,84,14.7,19,7355,69
Amherst College,1,4302,23,83,1593,99,19760,5300,98,8.4,63,21424,100
Anderson University,1,1216,74,19,1819,86,10100,3520,61,12.1,14,7994,59
Andrews University,1,1130,62,14,1586,82,9996,3090,66,11.5,18,10908,46
Angelo State University,0,3540,56,24,4190,73,5130,3592,62,23.1,5,4010,34
Antioch University,1,713,92,25,712,96,15476,3336,82,11.3,35,42926,48
Appalachian State University,0,7313,63,20,9940,90,6806,2540,96,18.3,14,5854,70
Aquinas College,1,619,83,20,1251,61,11208,4124,65,12.7,25,6584,65
Arizona State University Main campus,0,12809,80,24,22593,74,7434,4850,93,18.9,5,4602,48
Arkansas College (Lyon College),1,708,47,46,530,74,8644,3922,88,12.6,24,14579,54
Arkansas Tech University,0,1734,99,12,3602,79,3460,2650,60,19.6,5,4739,48
Assumption College,1,2135,79,23,1708,71,12000,5920,93,13.8,30,7100,88
Auburn University-Main Campus,0,7548,89,25,16262,90,6300,3933,91,16.7,18,6642,69
Augsburg College,1,662,77,12,2074,74,11902,4372,65,12.8,31,7836,58
Augustana College IL,1,1879,88,36,1950,98,13353,4173,83,12.7,40,9220,71
Augustana College,1,761,95,21,1337,81,10990,3244,70,10.4,30,6871,69
Austin College,1,948,84,42,1120,98,11280,4342,95,13.0,33,11361,71
Averett College,1,627,88,16,777,59,9925,4135,67,22.4,11,6523,48
Baker University,1,602,80,21,958,67,8620,4100,68,11.0,21,6136,65
Baldwin-Wallace College,1,1690,80,30,2718,65,10995,4410,74,17.6,20,8086,85
Barat College,1,261,73,15,453,63,9690,4300,77,9.7,35,9337,71
Bard College,1,1910,43,50,1004,98,19264,6206,98,10.4,30,13894,79
Barnard College,1,2496,56,53,2121,96,17926,8124,93,10.3,33,12580,91
Barry University,1,990,79,18,1811,36,11290,5360,78,12.6,11,9084,72
Baylor University,1,6075,88,34,9919,95,6450,3920,76,18.5,38,7503,72
Beaver College,1,1163,73,23,878,62,12850,5400,89,12.2,30,8954,73
Bellarmine College,1,807,87,39,1198,66,8840,2950,82,13.1,31,6668,84
Belmont Abbey College,1,632,78,17,709,84,9000,4850,85,13.2,10,7550,52
Belmont University,1,1220,79,28,1964,75,7800,3664,61,11.1,19,7614,49
Beloit College,1,1320,69,26,1085,93,16304,3616,95,11.1,26,12957,69
Bemidji State University,0,1208,72,12,3796,82,4425,2700,62,19.6,16,3752,46
Benedictine College,1,632,98,14,702,58,9550,3850,84,14.1,18,5922,58
Bennington College,1,519,63,25,457,99,21700,4100,59,10.1,33,16364,55
Bentley College,1,3466,67,20,3095,66,13800,5510,87,17.5,20,10941,82
Berry College,1,1858,65,37,1620,97,8050,3940,80,16.3,17,10511,63
Bethany College,1,878,92,16,706,91,8740,3363,68,11.6,29,7718,48
Bethel College KS,1,202,91,19,537,84,8540,3580,80,8.8,32,8324,56
Bethel College,1,502,76,11,347,82,6200,2900,63,11.7,13,7623,35
Bethune Cookman College,1,1646,69,12,2128,96,5188,3396,48,13.8,9,6817,58
Birmingham-Southern College,1,805,73,67,1376,86,11660,4325,79,14.0,34,8649,72
Blackburn College,1,500,67,25,421,93,6500,2700,76,14.3,53,8377,51
Bloomsburg Univ. of Pennsylvania,0,6773,44,15,5847,86,7844,2948,68,18.0,19,7041,75
Bluefield College,1,377,94,15,653,83,7150,4350,67,17.8,3,6259,53
Bluffton College,1,692,74,20,760,90,9900,3990,71,13.3,19,9073,58
Boston University,1,20192,64,45,14971,82,18420,6810,81,11.9,16,16836,72
Bowdoin College,1,3356,30,76,1490,99,19030,5885,96,11.2,52,20447,96
Bowling Green State University,0,9251,79,14,13699,91,7452,3352,89,21.1,14,6918,67
Bradford College,1,443,74,5,453,91,14080,6270,80,10.2,21,15387,46
Bradley University,1,3767,90,30,4531,87,10870,4440,81,14.4,21,7671,85
Brandeis University,1,4186,65,48,2819,97,19380,6750,97,9.8,24,17150,84
Brenau University,1,367,74,12,917,65,9592,5879,80,13.7,12,5935,49
Brewton-Parker College,1,1436,85,10,1320,61,4371,2370,62,12.6,10,4900,18
Briar Cliff College,1,392,89,16,738,63,10260,3597,66,13.1,26,8355,58
Bridgewater College,1,838,80,22,881,94,10265,4725,73,13.2,24,8655,82
Brigham Young University at Provo,1,7365,73,48,27378,95,2340,3580,76,20.5,40,7916,33
Brown University,1,12586,25,87,5643,94,19528,5926,100,7.6,39,20440,97
Bryn Mawr College,1,1465,55,71,1088,98,18165,6750,100,12.3,49,17449,89
Bucknell University,1,6548,58,49,3316,99,18550,4750,97,14.2,36,13675,93
Buena Vista College,1,860,80,32,1928,81,13306,3797,69,8.8,10,6333,78
Butler University,1,2362,86,40,2607,94,13130,4650,81,10.9,29,9511,83
Cabrini College,1,599,82,8,1035,69,10518,6250,76,16.5,36,7117,71
Caldwell College,1,1011,59,17,693,44,8900,4600,96,13.9,25,7922,55
California Lutheran University,1,563,43,23,1427,76,12950,5300,74,12.4,17,8985,60
California Polytechnic-San Luis,0,7811,48,47,12911,90,7380,4877,81,19.8,13,8453,59
California State University at Fresno,0,4540,72,5,13494,91,7706,4368,90,21.2,8,7268,61
Calvin College,1,1784,84,29,3401,96,10230,3710,81,14.8,41,7786,81
Campbell University,1,2087,64,20,3191,72,7550,2790,77,21.8,34,3739,63
Campbellsville College,1,848,69,25,935,83,6060,3070,66,17.7,13,5391,49
Canisius College,1,2853,76,16,2978,87,10750,5340,92,14.6,26,7972,64
Capital University,1,1747,79,34,1662,63,13050,4000,69,12.1,27,9557,83
Capitol College,1,100,90,10,282,46,8400,2812,50,12.1,24,7976,52
Carleton College,1,2694,58,75,1870,99,19292,3957,93,10.4,60,17960,91
Carnegie Mellon University,1,8728,59,60,4265,93,17900,5690,93,9.2,31,24386,74
Carroll College,1,1160,85,19,1357,64,12200,3880,81,17.8,25,7666,79
Carson-Newman College,1,1096,86,27,1776,88,8150,3150,62,13.6,16,6716,67
Carthage College,1,1616,88,20,1405,70,13125,3775,89,15.9,22,7364,62
Case Western Reserve University,1,3877,81,71,3051,85,15700,4730,95,2.9,29,19733,67
Castleton State College,0,1257,74,9,1547,84,7656,4690,91,14.7,8,6318,79
Catawba College,1,1083,81,13,915,91,9270,4100,82,13.5,27,8425,55
Catholic University of America,1,1754,83,24,2159,91,13712,6408,96,9.3,18,12751,75
Cazenovia College,1,3847,89,9,1010,98,9384,4840,47,14.3,20,7697,118
Cedar Crest College,1,776,78,25,791,50,14340,5285,83,11.7,39,10961,74
Cedarville College,1,1307,83,25,2196,96,7344,4410,52,15.3,34,6897,64
Centenary College,1,369,84,12,396,42,11400,5400,85,9.5,20,9583,24
Centenary College of Louisiana,1,495,87,35,775,94,8950,3490,92,11.3,25,9685,66
Center for Creative Studies,1,601,65,1,525,61,11230,6643,58,6.8,4,13025,47
Central College,1,1283,86,31,1355,97,10938,3660,90,13.5,29,8444,67
Central Connecticut State University,0,4158,60,6,6394,62,5962,4444,73,16.7,4,4900,49
Central Missouri State University,0,4681,87,10,8094,83,4620,3288,80,19.7,4,5501,50
Central Washington University,0,2785,72,8,6507,87,7242,3603,89,18.1,0,6413,51
Central Wesleyan College,1,174,83,8,1047,96,8300,3080,62,15.2,18,3365,58
Centre College,1,1013,87,55,943,99,11850,4270,99,11.4,60,13118,74
Chapman University,1,959,80,23,1662,88,16624,5895,80,12.8,6,12692,47
Chatham College,1,212,92,28,471,76,13500,5230,98,9.3,37,16095,52
Chestnut Hill College,1,342,74,25,518,69,10335,5015,71,8.3,29,7729,73
Christendom College,1,81,88,33,139,97,8730,3600,92,9.3,17,10922,58
Christian Brothers University,1,880,59,16,1068,74,9300,3260,81,11.1,24,8129,63
Christopher Newport University,0,883,86,3,2910,62,7860,4750,82,21.2,16,4639,48
Claflin College,1,1196,58,21,959,98,4412,2460,69,16.9,31,7083,21
Claremont McKenna College,1,1860,41,71,887,99,17000,6010,99,9.6,52,18443,87
Clark University,1,2887,71,30,1928,86,17500,4200,95,10.5,35,11951,79
Clarke College,1,460,73,14,604,63,10740,3676,71,11.0,27,7963,74
Clarkson University,1,2174,89,35,2332,97,15960,5580,95,15.8,32,11659,77
Clemson University,0,8065,65,37,11755,93,8116,3610,88,18.0,17,7597,73
Clinch Valley Coll. of  the Univ. of Virginia,0,689,81,15,1125,72,7168,3689,67,18.1,9,4417,46
Coe College,1,1006,73,29,1127,84,13925,4390,86,12.7,32,10141,67
Coker College,1,604,74,15,690,75,9888,4502,77,12.1,39,8741,75
Colby College,1,2848,46,58,1720,98,18930,5590,94,10.2,41,15954,91
Colgate University,1,4856,51,46,2649,99,19510,5565,98,10.5,45,15494,93
College Misericordia,1,1432,62,29,1121,69,10860,5760,62,12.9,23,8604,96
